time_h,bc_rate_frac,P_bar,T_C,subcooling_C,holdup,v_m_mps,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
1.0654,1,121.07,23.674,-19.328,0.45253,2.2865,0.13146,0,0,0.010767
1.0715,1,121.09,23.712,-19.366,0.45483,2.2824,0.13147,0,0,0.01087
1.0776,1,121.12,23.751,-19.404,0.4574,2.2779,0.13147,0,0,0.01098
1.0838,1,121.14,23.79,-19.441,0.46021,2.2734,0.13147,0,0,0.011096
1.09,1,121.16,23.828,-19.478,0.46327,2.2693,0.13147,0,0,0.011217
1.0962,1,121.18,23.866,-19.515,0.46654,2.2656,0.13147,0,0,0.011341
1.1024,1,121.2,23.904,-19.552,0.47001,2.2621,0.13148,0,0,0.011468
1.1086,1,121.21,23.941,-19.589,0.47363,2.2587,0.13148,0,0,0.011596
1.1148,1,121.23,23.979,-19.625,0.47738,2.2551,0.13148,0,0,0.011727
1.1211,1,121.25,24.016,-19.662,0.48123,2.251,0.13148,0,0,0.011862
1.1274,1,121.27,24.053,-19.698,0.48513,2.2463,0.13148,0,0,0.012002
1.1336,1,121.28,24.089,-19.733,0.48903,2.2425,0.13148,0,0,0.012141
1.1399,1,121.3,24.126,-19.769,0.49288,2.239,0.13148,0,0,0.012277
1.1462,1,121.32,24.162,-19.804,0.49661,2.2349,0.13148,0,0,0.012413
1.1524,1,121.33,24.197,-19.839,0.50013,2.2325,0.13148,0,0,0.012537
1.1587,1,121.34,24.232,-19.874,0.50334,2.2312,0.13148,0,0,0.012645
1.1649,1,121.35,24.267,-19.908,0.50613,2.2305,0.13148,0,0,0.012736
1.171,1,121.36,24.301,-19.942,0.50837,2.2298,0.13148,0,0,0.012809
1.1772,1,121.39,24.334,-19.974,0.51007,2.2174,0.13148,0,0,0.012925
1.1832,1,121.44,24.366,-20.005,0.51116,2.2003,0.1315,0,0,0.013078
1.1893,1,121.49,24.399,-20.034,0.51144,2.1917,0.13152,0,0,0.013203
1.1953,1,121.53,24.43,-20.063,0.51091,2.1869,0.13153,0,0,0.013294
1.2013,1,121.55,24.461,-20.093,0.50949,2.1893,0.13154,0,0,0.013324
1.2073,1,121.56,24.492,-20.124,0.50721,2.1969,0.13154,0,0,0.013289
1.2133,1,121.55,24.522,-20.155,0.50408,2.2116,0.13152,0,0,0.013174
1.2192,1,121.51,24.553,-20.189,0.50017,2.2334,0.1315,0,0,0.012973
1.225,1,121.44,24.583,-20.224,0.49551,2.2633,0.13146,0,0,0.012676
1.2308,1,121.33,24.614,-20.261,0.49023,2.2979,0.1314,0,0,0.012296
1.2366,1,121.21,24.645,-20.299,0.48448,2.3318,0.13134,0,0,0.011863
1.2423,1,121.08,24.676,-20.338,0.47845,2.3603,0.13127,0,0,0.011414
